Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
preB_ATAC_D212_S40_R2_001	preB_ATAC_D212_S40_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9009548.0	0.0	38.0	59.0	74.58747837232546	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
preB_ATAC_D212_S40_trim1	preB_ATAC_D212_S40_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8617644.0	0.0	36-38	58.0	74.50686980085489	37.94946751107379	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
preB_ATAC_D212_S40_trim2	preB_ATAC_D212_S40_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8617644.0	0.0	36-38	58.0	75.70560975746142	37.92997540859196	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
preB_ATAC_D213_S28_R1_001	preB_ATAC_D213_S28_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4204047.0	0.0	38.0	57.0	86.04374835289732	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
preB_ATAC_D213_S28_R2_001	preB_ATAC_D213_S28_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4204047.0	0.0	38.0	56.0	86.74895318770369	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
preB_ATAC_D213_S28_trim1	preB_ATAC_D213_S28_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3999381.0	0.0	36-38	56.0	87.14975481135437	37.93025795741891	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
preB_ATAC_D213_S28_trim2	preB_ATAC_D213_S28_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3999381.0	0.0	36-38	56.0	87.65305954307836	37.91832336054004	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
preB_ATAC_D214_S16_R1_001	preB_ATAC_D214_S16_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4843566.0	0.0	38.0	56.0	76.81866670567048	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
preB_ATAC_D214_S16_R2_001	preB_ATAC_D214_S16_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4843566.0	0.0	38.0	56.0	77.63638585804374	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
preB_ATAC_D214_S16_trim1	preB_ATAC_D214_S16_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4645994.0	0.0	36-38	56.0	78.01138091054231	37.94050444318266	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
preB_ATAC_D214_S16_trim2	preB_ATAC_D214_S16_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4645994.0	0.0	36-38	56.0	78.59490901392803	37.92690390904508	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
preB_ATAC_D215_S4_R1_001	preB_ATAC_D215_S4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4526299.0	0.0	38.0	57.0	82.86776156503286	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
preB_ATAC_D215_S4_R2_001	preB_ATAC_D215_S4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4526299.0	0.0	38.0	57.0	83.67631651321202	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
preB_ATAC_D215_S4_trim1	preB_ATAC_D215_S4_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4306826.0	0.0	36-38	57.0	83.85284749745297	37.94767979946253	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
preB_ATAC_D215_S4_trim2	preB_ATAC_D215_S4_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4306826.0	0.0	36-38	57.0	84.56967260706026	37.921404997555044	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
